,Year,Concentration
0,1980,338.8
1,1981,339.99
2,1982,340.76
3,1983,342.44
4,1984,343.98
5,1985,345.46
6,1986,346.88
7,1987,348.61
8,1988,351.14
9,1989,352.79
10,1990,353.96
11,1991,355.29
12,1992,355.99
13,1993,356.71
14,1994,358.2
15,1995,360.03
16,1996,361.79
17,1997,362.9
18,1998,365.55
19,1999,367.63
20,2000,368.81
21,2001,370.4
22,2002,372.42
23,2003,374.96
24,2004,376.78
25,2005,378.81
26,2006,380.93
27,2007,382.67
28,2008,384.78
29,2009,386.28
30,2010,388.56
31,2011,390.44
32,2012,392.45
33,2013,395.19
34,2014,397.11
35,2015,399.41
36,2016,402.87
37,2017,406.55
38,2018,408.52
39,2019,409.53
