,Year,Coal(Terawatt-Hours),Oil(Terawatt-Hours),Gas(Terawatt-Hours)
22,1970,17059,26708,9614
23,1971,16966,28205,10292
24,1972,17154,30378,10861
25,1973,17668,32746,11378
26,1974,17682,32272,11656
27,1975,18025,31948,11661
28,1976,18688,34030,12356
29,1977,19241,35215,12761
30,1978,19458,36426,13294
31,1979,20364,37024,14119
32,1980,20858,35577,14239
33,1981,21150,34296,14394
34,1982,21384,33198,14469
35,1983,22045,32969,14703
36,1984,23000,33739,15903
37,1985,23986,33789,16261
38,1986,24256,34803,16419
39,1987,25210,35499,17281
40,1988,25965,36703,18089
41,1989,26213,37300,18869
42,1990,25895,37691,19483
43,1991,25643,37691,19975
44,1992,25550,38344,20067
45,1993,25675,38099,20269
46,1994,25774,38935,20394
47,1995,25954,39445,21108
48,1996,26572,40380,22164
49,1997,26527,41413,22033
50,1998,26360,41624,22439
51,1999,26522,42371,23075
52,2000,27417,42897,24000
53,2001,27853,43278,24331
54,2002,28945,43639,25053
55,2003,31497,44610,25753
56,2004,33664,46256,26736
57,2005,36171,46824,27464
58,2006,38071,47367,28175
59,2007,40224,47958,29325
60,2008,40770,47566,30025
61,2009,40149,46654,29411
62,2010,41997,48087,31606
63,2011,44018,48550,32372
64,2012,44185,49157,33219
65,2013,44993,49689,33767
66,2014,44954,50014,33994
67,2015,43844,50892,34781
68,2016,43196,51920,35589
69,2017,43360,52568,36586
70,2018,44109,53181,38517
71,2019,43849,53620,39292
