,Year,Temperature,Precipitation
0,1970,53.79041095890414,0.0
1,1971,54.04082191780823,0.0
2,1972,55.16748633879782,0.0
3,1973,55.98575342465755,0.0
4,1974,54.43561643835623,0.0
5,1975,54.5506849315068,0.0
6,1976,54.05136612021862,0.0
7,1977,55.21369863013694,0.0
8,1978,54.116438356164416,0.0
9,1979,55.405479452054784,0.030109589041095865
10,1980,56.23551912568304,0.03625683060109289
11,1981,56.29041095890409,0.06517808219178078
12,1982,55.7095890410959,0.03506849315068491
13,1983,55.491232876712324,0.07819178082191779
14,1984,53.2396174863388,0.07693989071038257
15,1985,54.37698630136987,0.061616438356164344
16,1986,54.02164383561641,0.05909589041095887
17,1987,54.43479452054794,0.0744657534246575
18,1988,56.04726775956285,0.07953551912568302
19,1989,55.4950684931507,0.08150684931506855
20,1990,55.91123287671231,0.1184109589041096
21,1991,56.04931506849318,0.15030136986301368
22,1992,53.712021857923524,0.1624043715846995
23,1993,54.64136986301369,0.14665753424657538
24,1994,54.78904109589042,0.09323287671232867
25,1995,54.123287671232816,0.17164383561643842
26,1996,54.05245901639343,0.180983606557377
27,1997,55.69013698630141,0.09468493150684926
28,1998,56.33589041095888,0.1390136986301371
29,1999,56.76684931506847,0.07142465753424658
30,2000,55.44016393442625,0.16346994535519127
31,2001,56.204109589041096,0.10350684931506861
32,2002,56.841369863013675,0.11347945205479457
33,2003,56.79589041095893,0.1278356164383562
34,2004,56.88169398907103,0.13653005464480875
35,2005,56.56986301369859,0.14745205479452056
36,2006,56.9312328767123,0.08767123287671237
37,2007,57.52520547945205,0.14517808219178086
38,2008,55.933060109289606,0.1295901639344262
39,2009,57.518356164383526,0.13320547945205483
40,2010,55.89726027397264,0.22876712328767118
41,2011,55.004109589041015,0.1537808219178082
42,2012,54.27896174863387,0.15475409836065573
43,2013,56.38465753424656,0.07545205479452055
44,2014,56.5723287671233,0.07687671232876711
45,2015,55.87479452054793,0.08232876712328764
46,2016,57.08169398907105,0.09814207650273221
47,2017,56.32328767123295,0.05950684931506846
48,2018,56.936164383561625,0.053506849315068446
49,2019,57.679452054794524,0.03608219178082188
50,2020,54.853896103896105,0.0780194805194805
