,Year,Fossil Fuels (TWh)
170,1970,539.1942722
171,1971,563.9411397999999
172,1972,591.0386467000001
173,1973,631.9483707999999
174,1974,669.5071337
175,1975,678.3166993
176,1976,705.690934
177,1977,744.5503464999999
178,1978,760.9011165000001
179,1979,793.72505
180,1980,801.6155057
181,1981,807.4272507000001
182,1982,809.6388419
183,1983,813.4547357999999
184,1984,847.6868515000001
185,1985,852.1650289999999
186,1986,882.0992057
187,1987,907.8611642999999
188,1988,949.1856895999999
189,1989,997.0093559000001
190,1990,1014.0488869999999
191,1991,1004.9123109999999
192,1992,1014.883151
193,1993,1043.8689140000001
194,1994,1087.9735699999999
195,1995,1119.14479
196,1996,1147.239758
197,1997,1177.298968
198,1998,1206.010813
199,1999,1259.258241
200,2000,1264.793408
201,2001,1277.9531240000001
202,2002,1296.04465
203,2003,1314.682378
204,2004,1358.446469
205,2005,1349.632856
206,2006,1432.9387060000001
207,2007,1451.8745900000001
208,2008,1475.171063
209,2009,1455.7236619999999
210,2010,1450.189348
211,2011,1482.663554
212,2012,1466.9979939999998
213,2013,1466.687283
214,2014,1497.662003
215,2015,1515.937006
216,2016,1516.338534
217,2017,1518.5328140000001
218,2018,1526.400889
219,2019,1627.911643
