,Year,World Population
31,1970,3700437046
32,1971,3775759617
33,1972,3851650245
34,1973,3927780238
35,1974,4003794172
36,1975,4079480606
37,1976,4154666864
38,1977,4229506060
39,1978,4304533501
40,1979,4380506100
41,1980,4458003514
42,1981,4536996762
43,1982,4617386542
44,1983,4699569304
45,1984,4784011621
46,1985,4870921740
47,1986,4960567912
48,1987,5052522147
49,1988,5145426008
50,1989,5237441558
51,1990,5327231061
52,1991,5414289444
53,1992,5498919809
54,1993,5581597546
55,1994,5663150427
56,1995,5744212979
57,1996,5824891951
58,1997,5905045788
59,1998,5984793942
60,1999,6064239055
61,2000,6143493823
62,2001,6222626606
63,2002,6301773188
64,2003,6381185114
65,2004,6461159389
66,2005,6541907027
67,2006,6623517833
68,2007,6705946610
69,2008,6789088686
70,2009,6872767093
71,2010,6956823603
72,2011,7041194301
73,2012,7125828059
74,2013,7210581976
75,2014,7295290765
76,2015,7379797139
77,2016,7464022049
78,2017,7547858925
79,2018,7631091040
80,2019,7713468100
